# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Oct 16 23:30:34 GMT 2024 [seed=1123580]
# -beagle_GPU -beagle_order 1 -seed 1123580 -save_every 10000000 -save_stem combined_seqs_renamed_clear_6merpair_keep_len_masked_trimmed_manual_clear_without_wu1_renamed_clear_manual_clear_split_skygrid_26.xml_run0 combined_seqs_renamed_clear_6merpair_keep_len_masked_trimmed_manual_clear_without_wu1_renamed_clear_manual_clear_split_skygrid_26.xml
# keywords: skygrid
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
0	-145246.98356671946	-42771.511245483896	-102475.47232123556	1.189178808861063	2020.8930129719608	435.331404741071	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.0013	0.0012999999999999984	-102475.47232123556	0.0	-42776.4177573017
10000	-103674.04712904649	-6042.352142895808	-97631.69498615069	1.418217325991887	2020.66397445483	416.9309527948241	5.395142652242531	5.593691719345996	5.494382269672331	5.9995899176032	5.993288477436326	5.711630776452286	5.585626709292067	5.62429474116783	5.892899842381073	5.908559024783257	5.883795710211954	5.937263199565337	5.535867272224814	5.829006593167524	5.6897444993792385	4.742286260025988	4.830529093482667	4.466478537891167	4.277707047967815	3.6693461742151765	3.6980860827715607	3.5854164308956364	3.622385849486368	3.113097678700595	2.5268118633997694	2.2220873635994027	1.4595909071872646	1.0	4.526286601384589	0.25900562318473425	0.18808644077119702	0.1866445612482448	0.36626337479582405	0.1595818551276489	7.835805340366415E-4	7.835805340366449E-4	-97631.69498615069	0.0	-5502.374129835297
20000	-103560.16967667469	-5994.722247919172	-97565.44742875552	1.455519988729861	2020.626671792092	400.4825276654724	5.938189426045512	6.040642648252669	6.373617635598904	6.34040142521391	5.894923725682684	5.308867400111877	5.17695192195767	5.481860590876291	5.8746641257602015	5.585419610368107	5.798986925364845	5.774510303304556	5.414120876561294	5.671507525381598	5.487501805645202	4.709379015027718	4.543410019725672	4.302901812483352	4.406608768762401	3.560987278344291	3.4716017237962555	3.35042057322421	3.6397483089876013	2.9171726921072314	2.592210452796934	2.156328842987345	1.2250853641062016	1.0	4.5613746304475535	0.271225980929906	0.18058064971419616	0.18656190214767737	0.36163146720822054	0.17997473887988008	7.854140069073487E-4	7.854140069073488E-4	-97565.44742875552	0.0	-5459.581244923753
30000	-103482.36364165106	-5959.060238192296	-97523.30340345876	1.3860175123700476	2020.6961742684518	393.157207221764	2.7274086075270545	5.251419329811526	5.963622115928237	5.917159207212436	5.416885587313028	5.5611859922352425	5.09370219629136	4.928595479926404	6.121587475877724	6.024492036780847	6.450464680805271	6.22886616359605	5.331044974961689	5.519832596572715	5.201614287986751	4.728298853798968	4.746027621678611	4.2034347614063385	3.9844126378924285	3.444490472867221	3.7066493732518446	3.3054087126189255	3.556510033179443	2.9583905897808234	2.5277258924270765	2.2439045823081263	1.1155642725325499	1.0	4.557314534639482	0.27238976501853357	0.1827985747881239	0.18355283909261003	0.3612588211007326	0.18051496915663617	7.915834732451249E-4	7.915834732451267E-4	-97523.30340345876	0.0	-5441.218885090774
40000	-103379.01834136475	-5914.453416611635	-97464.56492475311	1.4454021764021456	2020.6367896044196	382.4522547597173	3.891368456829456	4.2465164103982636	4.5647315953082686	4.974343767779197	5.469270346201316	5.866447912244675	5.474702612364706	5.005117472560673	5.494895037275878	5.571114022404594	5.996729644778118	5.961621343445372	5.881385763745804	5.761592123135018	4.888473518434366	4.534502215875604	4.495742992349503	4.295557197224172	3.7521609377993532	3.1390764954423247	3.480396714873167	3.4676260652557707	3.185315629636071	2.627771358737137	2.403889129574211	1.9996347857776573	0.9416222498315912	1.0	4.79146724440492	0.2681665026991064	0.18038525089144672	0.18682796341474256	0.3646202829947044	0.16518550322941625	7.969812276881262E-4	7.969812276881255E-4	-97464.56492475311	0.0	-5410.356621294531
50000	-103301.12046823942	-5862.1030153753145	-97439.01745286411	1.3255527106250273	2020.7566390701968	374.3057188978182	4.432562080527382	5.00499154174168	5.197981726011569	6.2447940720687365	5.958325917054212	5.742582015084547	5.825248476408697	5.1843646592929025	5.180320492606389	5.717302980642598	5.713841831324727	5.706314077786374	5.406522077798065	5.458311584025951	4.6459372008940445	4.570223293859915	4.484364603338012	4.080842488534375	3.73666292657314	3.1225743095824408	3.441173700243031	3.277545139163065	2.9554812426695416	2.7678066909908323	2.542679478196452	2.0860572372247854	0.540901054940192	1.0	4.763263227671298	0.273912397825574	0.17906752353148442	0.18161162346870294	0.36540845517423876	0.18685366972593323	7.968229536425537E-4	7.968229536425564E-4	-97439.01745286411	0.0	-5357.429877438326
60000	-103244.77536337345	-5825.752153669515	-97419.02320970394	1.669834719098733	2020.412357061723	369.6807426980724	4.290892782850603	4.709290639686195	4.860204040574027	5.578260368266969	5.432659616819549	5.833622743366757	5.589229483755502	5.135227765368889	5.275733984848325	5.650863566244861	5.810763126152245	5.616539118916416	5.040181451704864	5.438379760813944	4.705020030024058	4.587849501901003	4.333558359972611	3.880715851811217	3.7825695011387928	3.057477440066359	3.153853321483987	3.51103047943873	2.680086632584694	3.0103879907566404	2.4237300538023	1.919856422437851	0.8083929758370992	1.0	4.483149794148129	0.269284665773041	0.18094988819537025	0.18404334680473558	0.3657220992268534	0.16588833687086305	8.02884289411196E-4	8.02884289411196E-4	-97419.02320970394	0.0	-5336.776007676406
70000	-103208.91578822026	-5784.537693333943	-97424.37809488631	1.292257859705725	2020.7899339211162	365.5785731902294	5.026030364252877	5.415585823613108	5.66648252516787	6.289179661842361	5.894449531242041	5.775950559835369	5.63229259102017	5.523103546435932	5.751036695885681	5.5813322171824655	6.058054662025768	5.5210331999468885	5.013275883137567	5.4195794021947785	4.9583310397920055	4.438571519311403	4.6665755104717475	3.83101088767564	3.7034894122940325	3.2905675691991227	3.005699058684031	3.281770192719978	2.6504103359039335	3.1604111026198023	2.67057768202993	1.5837281635891367	0.34472704710464136	1.0	4.566158820283194	0.27041336182117515	0.17668143722404428	0.1862268536805035	0.3666783472742773	0.1835121559313858	8.104503996000886E-4	8.10450399600088E-4	-97424.37809488631	0.0	-5314.242926252166
80000	-103137.84890129355	-5664.009004286621	-97473.83989700692	1.266320775880755	2020.815871004941	360.2271281355229	2.6748391685590343	2.830935619948474	4.107431704908774	4.687244912023946	4.853073644180922	5.188885817508605	5.1128792560590615	5.271790923370714	5.543581450732102	5.277024607562858	5.730243318335739	5.772506705957367	5.162981831796627	5.756826839418003	4.807471883278386	4.4141131999679075	4.754427467815803	3.8212781278705408	3.901543300880347	3.0526379825734637	3.2497308642958167	3.3795482844781417	2.270417710475596	3.0610381050665425	2.9587308714931173	1.7290899787822411	0.12123448059657627	1.0	4.71577860424642	0.2709245181567936	0.18263078696035603	0.18484001607618833	0.36160467880666236	0.1662866390718602	8.394199444309233E-4	8.394199444309226E-4	-97473.83989700692	0.0	-5261.804241001216
90000	-103101.36655619268	-5671.302905650036	-97430.06365054264	1.4759011364720127	2020.6062906443499	357.30527252259765	1.6408474356545955	5.564388479834266	5.087326863208451	4.710121297275861	5.09783094111727	5.832910283001222	5.404129850937715	5.228020002497111	5.056387636386567	6.096446063264363	6.160106563876255	5.605167334052959	4.873339077786937	5.451095218076697	4.746292500982634	4.198587947210401	4.390413997621485	3.7234689130042073	3.9262453605253556	3.007852651963477	3.3806835484932183	3.526054713397788	2.151396007612043	3.0896734902208	3.0721768918052073	1.6818433158610917	0.15532061599242514	1.0	4.67827490286884	0.27276201947042544	0.18324131914777939	0.18117208474516247	0.36282457663663276	0.17546695247612917	8.212876736244993E-4	8.212876736245002E-4	-97430.06365054264	0.0	-5228.243110103605
