Country,Start Date,Citation
United Kingdom,2021-04-23,https://www.gov.uk/government/news/india-added-to-red-list-as-cases-of-new-variant-rise
France,2021-04-26,https://eiglaw.com/as-cases-spike-countries-restrict-travel-from-india-updated/#:~:text=for%2030%20days
Spain,2021-05-01,https://eiglaw.com/as-cases-spike-countries-restrict-travel-from-india-updated/
United States,2021-05-04,https://www.aljazeera.com/news/2021/4/30/us-to-restrict-travel-from-india-to-limit-covid-19-spread
Italy,2021-04-25,https://www.reuters.com/world/europe/italy-imposes-travel-ban-india-over-covid-variant-2021-04-25/
Japan,2021-05-14,https://www.businesstraveller.com/business-travel/2021/05/14/japan-bans-entry-of-foreign-residents-from-india-nepal-and-pakistan/
Germany,2021-04-26,https://kpmg.com/ky/en/home/insights_new/2021/04/flash-alert-2021-122.html
Singapore,2021-04-24,https://www.ttgasia.com/2021/04/23/singapore-further-tightens-border-measures-for-travellers-from-india/
Bahrain,2021-05-24,https://www.theweek.in/news/world/2021/05/24/bahrain-suspends-entry-of-travellers-from-india-uae-extends-curbs-till-june-14.html
Netherlands,2021-04-26,https://nltimes.nl/2021/04/25/netherlands-bans-flights-arriving-india-starting-monday-evening
Canada,2021-04-22,https://www.canada.ca/en/transport-canada/news/2021/04/government-of-canada-suspends-flights-from-india-and-pakistan.html
Australia,2021-04-27,https://www.abc.net.au/news/2021-04-28/australia-india-flights-travel-ban-covid-outbreak/100099906
